종목코드,종목명,리포트제목,작성자,작성일자,PDF파일명,PDF링크,투자의견,목표가,PDF저장경로
128940,한미약품,"한미약품 (128940.KS/매수): 비수기에도 선방, 이익부터 차근차근 좋아지는 중",김선아,2025-07-08,Hanmi_2Q25Preview_250709.pdf,https://www.hanaw.com/main/research/research/download.cmd?bbsSeq=1283367&attachFileSeq=1&bbsId=&dbType=&bbsCd=2224,매수,,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/hana/Hanmi_2Q25Preview_250709.pdf
005930,삼성전자,삼성전자 (005930.KS/매수): 확실한 실적 바닥,수석연구위원 김록호,2025-07-08,SEC_250709.pdf,https://www.hanaw.com/main/research/research/download.cmd?bbsSeq=1283365&attachFileSeq=1&bbsId=&dbType=&bbsCd=2224,매수,,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/hana/SEC_250709.pdf
004170,신세계,신세계(004170.KS/매수): 2Q25Pre: 변함없는 하반기 방향성,서현정,2025-07-08,Shinsegae_250709_FINAL.pdf,https://www.hanaw.com/main/research/research/download.cmd?bbsSeq=1283364&attachFileSeq=1&bbsId=&dbType=&bbsCd=2224,매수,,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/hana/Shinsegae_250709_FINAL.pdf
139480,이마트,이마트(139480.KS/매수): 2Q25Pre: 순수 내수 업체로서 부각,서현정,2025-07-08,EMART_250709.pdf,https://www.hanaw.com/main/research/research/download.cmd?bbsSeq=1283363&attachFileSeq=1&bbsId=&dbType=&bbsCd=2224,매수,,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/hana/EMART_250709.pdf
294870,HDC현대산업개발,HDC현대산업개발(294870.KS/매수): 2분기 무난하게,김승준,2025-07-10,Con_HDC_250711.pdf,https://www.hanaw.com/main/research/research/download.cmd?bbsSeq=1283385&attachFileSeq=1&bbsId=&dbType=&bbsCd=2224,매수,,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/hana/Con_HDC_250711.pdf
192080,더블유게임즈,"더블유게임즈 (192080.KS/매수): 와우 게임즈 인수, 소셜카지노 반등 기대",이준호,2025-07-09,DUG_20250710.pdf,https://www.hanaw.com/main/research/research/download.cmd?bbsSeq=1283378&attachFileSeq=1&bbsId=&dbType=&bbsCd=2224,매수,,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/hana/DUG_20250710.pdf
028670,팬오션,팬오션 (028670.KS/매수): 2Q25 Pre: 장기전,안도현,2025-07-09,panocean_250709.pdf,https://www.hanaw.com/main/research/research/download.cmd?bbsSeq=1283377&attachFileSeq=1&bbsId=&dbType=&bbsCd=2224,매수,,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/hana/panocean_250709.pdf
,효성중공업,"효성중공업(298040,KS/매수): 끝날 기미가 없는 호황",선임연구원 유재선,2025-07-09,Hyosung_HI_250710_2Q25Pre.pdf,https://www.hanaw.com/main/research/research/download.cmd?bbsSeq=1283376&attachFileSeq=1&bbsId=&dbType=&bbsCd=2224,매수,,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/hana/Hyosung_HI_250710_2Q25Pre.pdf
032640,LG유플러스,"LG유플러스(032640.KS/매수): 2Q 프리뷰 - 깜짝 실적 발표 전망, 상승 기조 지속 예상",김홍식,2025-07-09,LGU_2Q_Preview_0709.pdf,https://www.hanaw.com/main/research/research/download.cmd?bbsSeq=1283375&attachFileSeq=1&bbsId=&dbType=&bbsCd=2224,매수,,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/hana/LGU_2Q_Preview_0709.pdf
017670,SK텔레콤,SK텔레콤(017670.KS/매수): 2Q 프리뷰 - 실적보단 7월 말 DPS 발표가 중요,김홍식,2025-07-09,SKT_2Q_Preview_0709.pdf,https://www.hanaw.com/main/research/research/download.cmd?bbsSeq=1283374&attachFileSeq=1&bbsId=&dbType=&bbsCd=2224,매수,,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/hana/SKT_2Q_Preview_0709.pdf
128940,한미약품,"한미약품 (128940.KS/매수): 비수기에도 선방, 이익부터 차근차근 좋아지는 중",김선아,2025-07-08,Hanmi_2Q25Preview_250709.pdf,https://www.hanaw.com/main/research/research/download.cmd?bbsSeq=1283367&attachFileSeq=1&bbsId=&dbType=&bbsCd=2224,매수,,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/hana/Hanmi_2Q25Preview_250709.pdf
005930,삼성전자,삼성전자 (005930.KS/매수): 확실한 실적 바닥,수석연구위원 김록호,2025-07-08,SEC_250709.pdf,https://www.hanaw.com/main/research/research/download.cmd?bbsSeq=1283365&attachFileSeq=1&bbsId=&dbType=&bbsCd=2224,매수,,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/hana/SEC_250709.pdf
004170,신세계,신세계(004170.KS/매수): 2Q25Pre: 변함없는 하반기 방향성,서현정,2025-07-08,Shinsegae_250709_FINAL.pdf,https://www.hanaw.com/main/research/research/download.cmd?bbsSeq=1283364&attachFileSeq=1&bbsId=&dbType=&bbsCd=2224,매수,,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/hana/Shinsegae_250709_FINAL.pdf
139480,이마트,이마트(139480.KS/매수): 2Q25Pre: 순수 내수 업체로서 부각,서현정,2025-07-08,EMART_250709.pdf,https://www.hanaw.com/main/research/research/download.cmd?bbsSeq=1283363&attachFileSeq=1&bbsId=&dbType=&bbsCd=2224,매수,,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/hana/EMART_250709.pdf
