report_no,title,date,author,filename,download_method
83281,"[두산테스나/매수] 3월부터 가동률 회복되나, 수요 불확실성 지속",2025.05.16,이민희,"20250516_[두산테스나_매수] 3월부터 가동률 회복되나, 수요 불확실성 지속_미상.pdf",direct_url
83280,[원익QnC/매수] 상반기 실적 개선되나 수요 불확실성 지속,2025.05.16,이민희,20250516_[원익QnC_매수] 상반기 실적 개선되나 수요 불확실성 지속_미상.pdf,direct_url
83279,"[SFA반도체/보유] 적자 지속, 하반기 턴어라운드 변수는 관세와 외주정책",2025.05.16,이민희,"20250516_[SFA반도체_보유] 적자 지속, 하반기 턴어라운드 변수는 관세와 외주정책_미상.pdf",direct_url
83278,[에스에프에이/매수] 내용 면에서 양호했던 1Q25 별도 실적,2025.05.16,이민희,20250516_[에스에프에이_매수] 내용 면에서 양호했던 1Q25 별도 실적_미상.pdf,direct_url
83412,"[GS/매수] 여전히 PBR 0.34X에 불과한 지주사
New",2025.07.11,김현태,"20250711_[GS_매수] 여전히 PBR 0.34X에 불과한 지주사
New_미상.pdf",direct_url
83410,"[세아제강/매수] 미국 고율 관세 부담으로 2Q 실적 저조할 듯
New",2025.07.10,김현태,"20250710_[세아제강_매수] 미국 고율 관세 부담으로 2Q 실적 저조할 듯
New_미상.pdf",direct_url
83409,"[현대모비스/매수] AMPC 보조금이 관세 부담을 줄여준다
New",2025.07.10,이상현,"20250710_[현대모비스_매수] AMPC 보조금이 관세 부담을 줄여준다
New_미상.pdf",direct_url
83408,"[SK이노베이션/매수] 현대차 그룹 판매 호조로 배터리 가동률 상승
New",2025.07.09,김현태,"20250709_[SK이노베이션_매수] 현대차 그룹 판매 호조로 배터리 가동률 상승
New_미상.pdf",direct_url
83406,"[동국제강/매수] 실적 개선 구간에 진입
New",2025.07.08,김현태,"20250708_[동국제강_매수] 실적 개선 구간에 진입
New_미상.pdf",direct_url
83405,"[LG화학/매수] 당분간은 실적 불확실성이 높은 구간
New",2025.07.08,김현태,"20250708_[LG화학_매수] 당분간은 실적 불확실성이 높은 구간
New_미상.pdf",direct_url
83402,"[현대지에프홀딩스/매수] 주주가치에 개선 잠재력
New",2025.07.07,김장원,"20250707_[현대지에프홀딩스_매수] 주주가치에 개선 잠재력
New_미상.pdf",direct_url
83400,[LS/매수] 더 돋보일 비상장자회사의 성장과 수익가치,2025.07.04,김장원,20250704_[LS_매수] 더 돋보일 비상장자회사의 성장과 수익가치_미상.pdf,direct_url
83397,[세아베스틸지주/매수] 3가지 모멘텀: 지주사 + 원전 + 해외 신사업,2025.07.03,김현태,20250703_[세아베스틸지주_매수] 3가지 모멘텀_ 지주사 + 원전 + 해외 신사업_미상.pdf,direct_url
83396,"[이수페타시스/매수] 수주 호조 흐름 지속, 실적도 고성장",2025.07.03,이민희,"20250703_[이수페타시스_매수] 수주 호조 흐름 지속, 실적도 고성장_미상.pdf",direct_url
83412,"[GS/매수] 여전히 PBR 0.34X에 불과한 지주사
New",2025.07.11,김현태,"20250711_[GS_매수] 여전히 PBR 0.34X에 불과한 지주사
New_미상.pdf",direct_url
83410,"[세아제강/매수] 미국 고율 관세 부담으로 2Q 실적 저조할 듯
New",2025.07.10,김현태,"20250710_[세아제강_매수] 미국 고율 관세 부담으로 2Q 실적 저조할 듯
New_미상.pdf",direct_url
83409,"[현대모비스/매수] AMPC 보조금이 관세 부담을 줄여준다
New",2025.07.10,이상현,"20250710_[현대모비스_매수] AMPC 보조금이 관세 부담을 줄여준다
New_미상.pdf",direct_url
83408,"[SK이노베이션/매수] 현대차 그룹 판매 호조로 배터리 가동률 상승
New",2025.07.09,김현태,"20250709_[SK이노베이션_매수] 현대차 그룹 판매 호조로 배터리 가동률 상승
New_미상.pdf",direct_url
83406,"[동국제강/매수] 실적 개선 구간에 진입
New",2025.07.08,김현태,"20250708_[동국제강_매수] 실적 개선 구간에 진입
New_미상.pdf",direct_url
83405,"[LG화학/매수] 당분간은 실적 불확실성이 높은 구간
New",2025.07.08,김현태,"20250708_[LG화학_매수] 당분간은 실적 불확실성이 높은 구간
New_미상.pdf",direct_url
83402,"[현대지에프홀딩스/매수] 주주가치에 개선 잠재력
New",2025.07.07,김장원,"20250707_[현대지에프홀딩스_매수] 주주가치에 개선 잠재력
New_미상.pdf",direct_url
83400,[LS/매수] 더 돋보일 비상장자회사의 성장과 수익가치,2025.07.04,김장원,20250704_[LS_매수] 더 돋보일 비상장자회사의 성장과 수익가치_미상.pdf,direct_url
83397,[세아베스틸지주/매수] 3가지 모멘텀: 지주사 + 원전 + 해외 신사업,2025.07.03,김현태,20250703_[세아베스틸지주_매수] 3가지 모멘텀_ 지주사 + 원전 + 해외 신사업_미상.pdf,direct_url
83396,"[이수페타시스/매수] 수주 호조 흐름 지속, 실적도 고성장",2025.07.03,이민희,"20250703_[이수페타시스_매수] 수주 호조 흐름 지속, 실적도 고성장_미상.pdf",direct_url
83412,"[GS/매수] 여전히 PBR 0.34X에 불과한 지주사
New",2025.07.11,김현태,"20250711_[GS_매수] 여전히 PBR 0.34X에 불과한 지주사
New_미상.pdf",direct_url
83410,"[세아제강/매수] 미국 고율 관세 부담으로 2Q 실적 저조할 듯
New",2025.07.10,김현태,"20250710_[세아제강_매수] 미국 고율 관세 부담으로 2Q 실적 저조할 듯
New_미상.pdf",direct_url
83409,"[현대모비스/매수] AMPC 보조금이 관세 부담을 줄여준다
New",2025.07.10,이상현,"20250710_[현대모비스_매수] AMPC 보조금이 관세 부담을 줄여준다
New_미상.pdf",direct_url
83408,"[SK이노베이션/매수] 현대차 그룹 판매 호조로 배터리 가동률 상승
New",2025.07.09,김현태,"20250709_[SK이노베이션_매수] 현대차 그룹 판매 호조로 배터리 가동률 상승
New_미상.pdf",direct_url
83406,"[동국제강/매수] 실적 개선 구간에 진입
New",2025.07.08,김현태,"20250708_[동국제강_매수] 실적 개선 구간에 진입
New_미상.pdf",direct_url
83405,"[LG화학/매수] 당분간은 실적 불확실성이 높은 구간
New",2025.07.08,김현태,"20250708_[LG화학_매수] 당분간은 실적 불확실성이 높은 구간
New_미상.pdf",direct_url
83402,"[현대지에프홀딩스/매수] 주주가치에 개선 잠재력
New",2025.07.07,김장원,"20250707_[현대지에프홀딩스_매수] 주주가치에 개선 잠재력
New_미상.pdf",direct_url
83400,[LS/매수] 더 돋보일 비상장자회사의 성장과 수익가치,2025.07.04,김장원,20250704_[LS_매수] 더 돋보일 비상장자회사의 성장과 수익가치_미상.pdf,direct_url
83397,[세아베스틸지주/매수] 3가지 모멘텀: 지주사 + 원전 + 해외 신사업,2025.07.03,김현태,20250703_[세아베스틸지주_매수] 3가지 모멘텀_ 지주사 + 원전 + 해외 신사업_미상.pdf,direct_url
83396,"[이수페타시스/매수] 수주 호조 흐름 지속, 실적도 고성장",2025.07.03,이민희,"20250703_[이수페타시스_매수] 수주 호조 흐름 지속, 실적도 고성장_미상.pdf",direct_url
83412,"[GS/매수] 여전히 PBR 0.34X에 불과한 지주사
New",2025.07.11,김현태,"20250711_[GS_매수] 여전히 PBR 0.34X에 불과한 지주사
New_미상.pdf",direct_url
83410,"[세아제강/매수] 미국 고율 관세 부담으로 2Q 실적 저조할 듯
New",2025.07.10,김현태,"20250710_[세아제강_매수] 미국 고율 관세 부담으로 2Q 실적 저조할 듯
New_미상.pdf",direct_url
83409,"[현대모비스/매수] AMPC 보조금이 관세 부담을 줄여준다
New",2025.07.10,이상현,"20250710_[현대모비스_매수] AMPC 보조금이 관세 부담을 줄여준다
New_미상.pdf",direct_url
83408,"[SK이노베이션/매수] 현대차 그룹 판매 호조로 배터리 가동률 상승
New",2025.07.09,김현태,"20250709_[SK이노베이션_매수] 현대차 그룹 판매 호조로 배터리 가동률 상승
New_미상.pdf",direct_url
83406,"[동국제강/매수] 실적 개선 구간에 진입
New",2025.07.08,김현태,"20250708_[동국제강_매수] 실적 개선 구간에 진입
New_미상.pdf",direct_url
83405,"[LG화학/매수] 당분간은 실적 불확실성이 높은 구간
New",2025.07.08,김현태,"20250708_[LG화학_매수] 당분간은 실적 불확실성이 높은 구간
New_미상.pdf",direct_url
83402,"[현대지에프홀딩스/매수] 주주가치에 개선 잠재력
New",2025.07.07,김장원,"20250707_[현대지에프홀딩스_매수] 주주가치에 개선 잠재력
New_미상.pdf",direct_url
83400,[LS/매수] 더 돋보일 비상장자회사의 성장과 수익가치,2025.07.04,김장원,20250704_[LS_매수] 더 돋보일 비상장자회사의 성장과 수익가치_미상.pdf,direct_url
83397,[세아베스틸지주/매수] 3가지 모멘텀: 지주사 + 원전 + 해외 신사업,2025.07.03,김현태,20250703_[세아베스틸지주_매수] 3가지 모멘텀_ 지주사 + 원전 + 해외 신사업_미상.pdf,direct_url
83396,"[이수페타시스/매수] 수주 호조 흐름 지속, 실적도 고성장",2025.07.03,이민희,"20250703_[이수페타시스_매수] 수주 호조 흐름 지속, 실적도 고성장_미상.pdf",direct_url
83412,"[GS/매수] 여전히 PBR 0.34X에 불과한 지주사
New",2025.07.11,김현태,"20250711_[GS_매수] 여전히 PBR 0.34X에 불과한 지주사
New_미상.pdf",direct_url
83410,"[세아제강/매수] 미국 고율 관세 부담으로 2Q 실적 저조할 듯
New",2025.07.10,김현태,"20250710_[세아제강_매수] 미국 고율 관세 부담으로 2Q 실적 저조할 듯
New_미상.pdf",direct_url
83409,"[현대모비스/매수] AMPC 보조금이 관세 부담을 줄여준다
New",2025.07.10,이상현,"20250710_[현대모비스_매수] AMPC 보조금이 관세 부담을 줄여준다
New_미상.pdf",direct_url
83408,"[SK이노베이션/매수] 현대차 그룹 판매 호조로 배터리 가동률 상승
New",2025.07.09,김현태,"20250709_[SK이노베이션_매수] 현대차 그룹 판매 호조로 배터리 가동률 상승
New_미상.pdf",direct_url
83406,"[동국제강/매수] 실적 개선 구간에 진입
New",2025.07.08,김현태,"20250708_[동국제강_매수] 실적 개선 구간에 진입
New_미상.pdf",direct_url
83405,"[LG화학/매수] 당분간은 실적 불확실성이 높은 구간
New",2025.07.08,김현태,"20250708_[LG화학_매수] 당분간은 실적 불확실성이 높은 구간
New_미상.pdf",direct_url
83402,"[현대지에프홀딩스/매수] 주주가치에 개선 잠재력
New",2025.07.07,김장원,"20250707_[현대지에프홀딩스_매수] 주주가치에 개선 잠재력
New_미상.pdf",direct_url
83400,[LS/매수] 더 돋보일 비상장자회사의 성장과 수익가치,2025.07.04,김장원,20250704_[LS_매수] 더 돋보일 비상장자회사의 성장과 수익가치_미상.pdf,direct_url
83397,[세아베스틸지주/매수] 3가지 모멘텀: 지주사 + 원전 + 해외 신사업,2025.07.03,김현태,20250703_[세아베스틸지주_매수] 3가지 모멘텀_ 지주사 + 원전 + 해외 신사업_미상.pdf,direct_url
83396,"[이수페타시스/매수] 수주 호조 흐름 지속, 실적도 고성장",2025.07.03,이민희,"20250703_[이수페타시스_매수] 수주 호조 흐름 지속, 실적도 고성장_미상.pdf",direct_url
83412,"[GS/매수] 여전히 PBR 0.34X에 불과한 지주사
New",2025.07.11,김현태,"20250711_[GS_매수] 여전히 PBR 0.34X에 불과한 지주사
New_미상.pdf",direct_url
